,Q-0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7,Q-8
DOC-0,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA
DOC-1,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-2,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC-4,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA
DOC-5,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA
DOC-6,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-7,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-8,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-9,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-10,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-11,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-12,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA
DOC-13,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-14,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-15,Yes,Yes,No,Yes,Yes,NA,Yes,NA,NA
DOC-16,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA
DOC-17,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA
DOC-18,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA
DOC-19,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-20,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-21,Yes,Yes,No,Yes,Yes,NA,Yes,NA,NA
DOC-22,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-23,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-24,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-25,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-26,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-27,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-28,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-29,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-30,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-31,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-32,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA
DOC-33,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA
DOC-34,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA
DOC-35,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA
DOC-36,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA
DOC-37,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA
DOC-38,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA
DOC-39,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA
DOC-40,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA
DOC-41,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA
DOC-42,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA
DOC-43,Yes,Yes,NA,NA,Yes,NA,Yes,NA,NA
DOC-44,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA
DOC-45,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-46,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA
DOC-47,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA
DOC-48,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA
DOC-49,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-50,Yes,No,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-51,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-52,Yes,NA,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-53,Yes,No,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-54,Yes,No,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-55,Yes,No,Yes,NA,Yes,NA,Yes,Yes,NA
DOC-56,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-57,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-58,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-59,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-60,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-61,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-62,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-63,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-64,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-65,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
DOC-66,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA
